"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Thurston Proposition No. 1 Sales and Use Tax for Law Enforcement Protection, Corresponding Prosecution and Public Defense Services, and Elections Security","Approved"," ","33148","56.9328","County"
"Thurston Proposition No. 1 Sales and Use Tax for Law Enforcement Protection, Corresponding Prosecution and Public Defense Services, and Elections Security","Rejected"," ","25075","43.0672","County"
"COMMISSIONER DISTRICT ALL COUNTY Commissioner, District No. 4","Vivian Eason","(Prefers Independent Party)","29006","49.2002","Commissioner"
"COMMISSIONER DISTRICT ALL COUNTY Commissioner, District No. 4","Wayne Fournier","(Prefers Democratic Party)","29759","50.4775","Commissioner"
"COMMISSIONER DISTRICT ALL COUNTY Commissioner, District No. 4","WRITE-IN"," ","190","0.3223","Commissioner"
"COMMISSIONER DISTRICT ALL COUNTY Commissioner, District No. 5","Emily Clouse","(Prefers Democratic Party)","35763","60.4166","Commissioner"
"COMMISSIONER DISTRICT ALL COUNTY Commissioner, District No. 5","Terry S. Ballard","(States No Party Preference)","23253","39.2827","Commissioner"
"COMMISSIONER DISTRICT ALL COUNTY Commissioner, District No. 5","WRITE-IN"," ","178","0.3007","Commissioner"
"PORT OF OLYMPIA Port Commissioner, District No. 1","Jasmine Vasavada"," ","30037","51.9518","Port"
"PORT OF OLYMPIA Port Commissioner, District No. 1","Bill McGregor"," ","27570","47.6849","Port"
"PORT OF OLYMPIA Port Commissioner, District No. 1","WRITE-IN"," ","210","0.3632","Port"
"PORT OF OLYMPIA Port Commissioner, District No. 4","Rose Chiu Gundersen"," ","28140","49.1606","Port"
"PORT OF OLYMPIA Port Commissioner, District No. 4","Maggie Sanders"," ","28828","50.3625","Port"
"PORT OF OLYMPIA Port Commissioner, District No. 4","WRITE-IN"," ","273","0.4769","Port"
"PORT OF OLYMPIA Port Commissioner, District No. 5","Sarah Tonge"," ","30314","53.1881","Port"
"PORT OF OLYMPIA Port Commissioner, District No. 5","Troy Kirby"," ","26458","46.4224","Port"
"PORT OF OLYMPIA Port Commissioner, District No. 5","WRITE-IN"," ","222","0.3895","Port"
"Town of Bucoda Mayor","Robert F. Gordon"," ","74","100","City/Town"
"Town of Bucoda Mayor","WRITE-IN"," ","0","0","City/Town"
"Town of Bucoda Town Council, Position No. 1","Callie Carpenter"," ","65","98.4848","City/Town"
"Town of Bucoda Town Council, Position No. 1","WRITE-IN"," ","1","1.5152","City/Town"
"Town of Bucoda Town Council, Position No. 2","Steven Lyle"," ","65","98.4848","City/Town"
"Town of Bucoda Town Council, Position No. 2","WRITE-IN"," ","1","1.5152","City/Town"
"Town of Bucoda Town Council, Position No. 4","Michelle Layton"," ","66","100","City/Town"
"Town of Bucoda Town Council, Position No. 4","WRITE-IN"," ","0","0","City/Town"
"Town of Bucoda Town Council, Position No. 5","Kiersten Presley"," ","67","98.5294","City/Town"
"Town of Bucoda Town Council, Position No. 5","WRITE-IN"," ","1","1.4706","City/Town"
"CITY OF LACEY City Council, Position No. 1","Malcolm Miller"," ","8109","97.5225","City/Town"
"CITY OF LACEY City Council, Position No. 1","WRITE-IN"," ","206","2.4775","City/Town"
"CITY OF LACEY City Council, Position No. 2","Spencer Zeman"," ","4202","43.1284","City/Town"
"CITY OF LACEY City Council, Position No. 2","Lenny Greenstein"," ","5494","56.3892","City/Town"
"CITY OF LACEY City Council, Position No. 2","WRITE-IN"," ","47","0.4824","City/Town"
"CITY OF LACEY City Council, Position No.  3","Nicolas Dunning"," ","6123","63.5694","City/Town"
"CITY OF LACEY City Council, Position No.  3","Ed Kunkel"," ","3431","35.6208","City/Town"
"CITY OF LACEY City Council, Position No.  3","WRITE-IN"," ","78","0.8098","City/Town"
"City of Olympia Mayor","Dontae Payne"," ","9649","69.6578","City/Town"
"City of Olympia Mayor","David Ross"," ","4143","29.909","City/Town"
