"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Thurston Proposition No. 1 Sales and Use Tax for Law Enforcement Protection, Corresponding Prosecution and Public Defense Services, and Elections Security","Approved"," ","38520","56.5348","County"
"Thurston Proposition No. 1 Sales and Use Tax for Law Enforcement Protection, Corresponding Prosecution and Public Defense Services, and Elections Security","Rejected"," ","29615","43.4652","County"
"COMMISSIONER DISTRICT ALL COUNTY Commissioner, District No. 4","Vivian Eason","(Prefers Independent Party)","34126","49.5254","Commissioner"
"COMMISSIONER DISTRICT ALL COUNTY Commissioner, District No. 4","Wayne Fournier","(Prefers Democratic Party)","34538","50.1234","Commissioner"
"COMMISSIONER DISTRICT ALL COUNTY Commissioner, District No. 4","WRITE-IN"," ","242","0.3512","Commissioner"
"COMMISSIONER DISTRICT ALL COUNTY Commissioner, District No. 5","Emily Clouse","(Prefers Democratic Party)","41333","59.7272","Commissioner"
"COMMISSIONER DISTRICT ALL COUNTY Commissioner, District No. 5","Terry S. Ballard","(States No Party Preference)","27646","39.9491","Commissioner"
"COMMISSIONER DISTRICT ALL COUNTY Commissioner, District No. 5","WRITE-IN"," ","224","0.3237","Commissioner"
"PORT OF OLYMPIA Port Commissioner, District No. 1","Jasmine Vasavada"," ","34850","51.661","Port"
"PORT OF OLYMPIA Port Commissioner, District No. 1","Bill McGregor"," ","32332","47.9284","Port"
"PORT OF OLYMPIA Port Commissioner, District No. 1","WRITE-IN"," ","277","0.4106","Port"
"PORT OF OLYMPIA Port Commissioner, District No. 4","Rose Chiu Gundersen"," ","32899","49.2301","Port"
"PORT OF OLYMPIA Port Commissioner, District No. 4","Maggie Sanders"," ","33591","50.2656","Port"
"PORT OF OLYMPIA Port Commissioner, District No. 4","WRITE-IN"," ","337","0.5043","Port"
"PORT OF OLYMPIA Port Commissioner, District No. 5","Sarah Tonge"," ","35040","52.6767","Port"
"PORT OF OLYMPIA Port Commissioner, District No. 5","Troy Kirby"," ","31191","46.8904","Port"
"PORT OF OLYMPIA Port Commissioner, District No. 5","WRITE-IN"," ","288","0.433","Port"
"Town of Bucoda Mayor","Robert F. Gordon"," ","101","100","City/Town"
"Town of Bucoda Mayor","WRITE-IN"," ","0","0","City/Town"
"Town of Bucoda Town Council, Position No. 1","Callie Carpenter"," ","91","98.913","City/Town"
"Town of Bucoda Town Council, Position No. 1","WRITE-IN"," ","1","1.087","City/Town"
"Town of Bucoda Town Council, Position No. 2","Steven Lyle"," ","89","97.8022","City/Town"
"Town of Bucoda Town Council, Position No. 2","WRITE-IN"," ","2","2.1978","City/Town"
"Town of Bucoda Town Council, Position No. 4","Michelle Layton"," ","92","100","City/Town"
"Town of Bucoda Town Council, Position No. 4","WRITE-IN"," ","0","0","City/Town"
"Town of Bucoda Town Council, Position No. 5","Kiersten Presley"," ","93","98.9362","City/Town"
"Town of Bucoda Town Council, Position No. 5","WRITE-IN"," ","1","1.0638","City/Town"
"CITY OF LACEY City Council, Position No. 1","Malcolm Miller"," ","8741","97.5776","City/Town"
"CITY OF LACEY City Council, Position No. 1","WRITE-IN"," ","217","2.4224","City/Town"
"CITY OF LACEY City Council, Position No. 2","Spencer Zeman"," ","4544","43.3257","City/Town"
"CITY OF LACEY City Council, Position No. 2","Lenny Greenstein"," ","5896","56.2166","City/Town"
"CITY OF LACEY City Council, Position No. 2","WRITE-IN"," ","48","0.4577","City/Town"
"CITY OF LACEY City Council, Position No.  3","Nicolas Dunning"," ","6569","63.4502","City/Town"
"CITY OF LACEY City Council, Position No.  3","Ed Kunkel"," ","3699","35.7288","City/Town"
"CITY OF LACEY City Council, Position No.  3","WRITE-IN"," ","85","0.821","City/Town"
"City of Olympia Mayor","Dontae Payne"," ","10416","69.5606","City/Town"
"City of Olympia Mayor","David Ross"," ","4490","29.9853","City/Town"
"City of Olympia Mayor","WRITE-IN"," ","68","0.4541","City/Town"
"City of Olympia City Council, Position No. 2","Yen Huynh"," ","10986","96.2418","City/Town"
"City of Olympia City Council, Position No. 2","WRITE-IN"," ","429","3.7582","City/Town"
"City of Olympia City Council, Position No. 3","Dani Madrone"," ","11012","96.343","City/Town"
"City of Olympia City Council, Position No. 3","WRITE-IN"," ","418","3.657","City/Town"
"City of Rainier City Council, Position No. 2","Damion Green"," ","232","49.6788","City/Town"
"City of Rainier City Council, Position No. 2","Ryan Roth"," ","229","49.0364","City/Town"
"City of Rainier City Council, Position No. 2","WRITE-IN"," ","6","1.2848","City/Town"
"City of Rainier City Council, Position No. 4","Ron Kemp"," ","346","96.1111","City/Town"
"City of Rainier City Council, Position No. 4","WRITE-IN"," ","14","3.8889","City/Town"
"City of Tenino Mayor","David Watterson"," ","232","52.4887","City/Town"
"City of Tenino Mayor","Linda Gotovac"," ","208","47.0588","City/Town"
"City of Tenino Mayor","WRITE-IN"," ","2","0.4525","City/Town"
"City of Tenino City Council, Position No. 2","Elaine Klamn"," ","332","97.6471","City/Town"
"City of Tenino City Council, Position No. 2","WRITE-IN"," ","8","2.3529","City/Town"
"City of Tenino City Council, Position No. 5","Jeff Eisel"," ","327","97.6119","City/Town"
"City of Tenino City Council, Position No. 5","WRITE-IN"," ","8","2.3881","City/Town"
"City of Tumwater City Council, Position No. 1","Leatta Dahlhoff"," ","4314","97.5577","City/Town"
"City of Tumwater City Council, Position No. 1","WRITE-IN"," ","108","2.4423","City/Town"
"City of Tumwater City Council, Position No. 2","Angela Jefferson"," ","4411","98.0658","City/Town"
"City of Tumwater City Council, Position No. 2","WRITE-IN"," ","87","1.9342","City/Town"
"City of Tumwater City Council, Position No. 3","Doris Atkinson"," ","851","15.8149","City/Town"
"City of Tumwater City Council, Position No. 3","Joan Cathey"," ","4464","82.9586","City/Town"
"City of Tumwater City Council, Position No. 3","WRITE-IN"," ","66","1.2265","City/Town"
"City of Tumwater City Council, Position No. 7","Andrea McGhee"," ","2717","47.4668","City/Town"
"City of Tumwater City Council, Position No. 7","Kelly Von Holtz"," ","2982","52.0964","City/Town"
"City of Tumwater City Council, Position No. 7","WRITE-IN"," ","25","0.4368","City/Town"
"CITY OF YELM City Council, Position No. 1","Stephanie Kangiser"," ","556","49.1166","City/Town"
"CITY OF YELM City Council, Position No. 1","Tracey Wood"," ","570","50.3534","City/Town"
"CITY OF YELM City Council, Position No. 1","WRITE-IN"," ","6","0.53","City/Town"
"CITY OF YELM City Council, Position No. 2","Joseph Dale Richardson"," ","592","52.5755","City/Town"
"CITY OF YELM City Council, Position No. 2","Jerry Toompas"," ","526","46.714","City/Town"
"CITY OF YELM City Council, Position No. 2","WRITE-IN"," ","8","0.7105","City/Town"
"CITY OF YELM City Council, Position No. 6","Trevor Palmer"," ","570","50.3089","City/Town"
"CITY OF YELM City Council, Position No. 6","Ashley Lea Brooks"," ","557","49.1615","City/Town"
"CITY OF YELM City Council, Position No. 6","WRITE-IN"," ","6","0.5296","City/Town"
"CENTRALIA SCHOOL DISTRICT NO. 401 Director Position 2","Maritza Bravo"," ","65","94.2029","School"
"CENTRALIA SCHOOL DISTRICT NO. 401 Director Position 2","WRITE-IN"," ","4","5.7971","School"
"CENTRALIA SCHOOL DISTRICT NO. 401 Director Position 3","Andrea Ware"," ","62","92.5373","School"
"CENTRALIA SCHOOL DISTRICT NO. 401 Director Position 3","WRITE-IN"," ","5","7.4627","School"
"CENTRALIA SCHOOL DISTRICT NO. 401 Director Position 4","Mandi McDougall"," ","28","31.1111","School"
"CENTRALIA SCHOOL DISTRICT NO. 401 Director Position 4","Sarah Holmes"," ","60","66.6667","School"
"CENTRALIA SCHOOL DISTRICT NO. 401 Director Position 4","WRITE-IN"," ","2","2.2222","School"
"Griffin School District No. 324 School Board Director, Position No. 1","Matt Dorcy"," ","1131","44.9344","School"
"Griffin School District No. 324 School Board Director, Position No. 1","Tesa Frevert"," ","1377","54.708","School"
"Griffin School District No. 324 School Board Director, Position No. 1","WRITE-IN"," ","9","0.3576","School"
"Griffin School District No. 324 School Board Director, Position No. 2","Emma Rose"," ","1839","96.9425","School"
"Griffin School District No. 324 School Board Director, Position No. 2","WRITE-IN"," ","58","3.0575","School"
"Griffin School District No. 324 School Board Director, Position No. 3","David Kangiser"," ","943","40.3164","School"
"Griffin School District No. 324 School Board Director, Position No. 3","Blair Baker"," ","1375","58.7858","School"
"Griffin School District No. 324 School Board Director, Position No. 3","WRITE-IN"," ","21","0.8978","School"
"NORTH THURSTON PUBLIC SCHOOLS School Board Director, District No. 1","Veronica Shriver"," ","10407","47.2208","School"
"NORTH THURSTON PUBLIC SCHOOLS School Board Director, District No. 1","Gretchen Maliska"," ","11530","52.3163","School"
"NORTH THURSTON PUBLIC SCHOOLS School Board Director, District No. 1","WRITE-IN"," ","102","0.4628","School"
"NORTH THURSTON PUBLIC SCHOOLS School Board Director, District No. 4","Stephanie Scott"," ","10232","46.8799","School"
"NORTH THURSTON PUBLIC SCHOOLS School Board Director, District No. 4","Esperanza A. Badillo-Diiorio"," ","11452","52.4695","School"
"NORTH THURSTON PUBLIC SCHOOLS School Board Director, District No. 4","WRITE-IN"," ","142","0.6506","School"
"NORTH THURSTON PUBLIC SCHOOLS School Board Director, District No. 5","Michelle J. Gipson"," ","11288","51.0031","School"
"NORTH THURSTON PUBLIC SCHOOLS School Board Director, District No. 5","David G. Newkirk"," ","10753","48.5858","School"
"NORTH THURSTON PUBLIC SCHOOLS School Board Director, District No. 5","WRITE-IN"," ","91","0.4112","School"
"Olympia School District No. 111 School Board Director, District No. 1","Maria R. Flores"," ","12362","61.702","School"
"Olympia School District No. 111 School Board Director, District No. 1","Talauna Reed"," ","6910","34.4896","School"
"Olympia School District No. 111 School Board Director, District No. 1","WRITE-IN"," ","763","3.8083","School"
"Olympia School District No. 111 School Board Director, District No. 2","Jess Tourtellotte-Palumbo"," ","11879","58.947","School"
"Olympia School District No. 111 School Board Director, District No. 2","Frank Durocher"," ","8209","40.7354","School"
"Olympia School District No. 111 School Board Director, District No. 2","WRITE-IN"," ","64","0.3176","School"
"Olympia School District No. 111 School Board Director, District No. 4","Hilary Seidel"," ","11971","59.999","School"
"Olympia School District No. 111 School Board Director, District No. 4","Leslie Van Leishout"," ","7866","39.4246","School"
"Olympia School District No. 111 School Board Director, District No. 4","WRITE-IN"," ","115","0.5764","School"
"RAINIER SCHOOL DISTRICT NO. 307 School Board Director, District No. 1","Amanda Siemandel"," ","684","55.5195","School"
"RAINIER SCHOOL DISTRICT NO. 307 School Board Director, District No. 1","Aaron Lang"," ","541","43.9123","School"
"RAINIER SCHOOL DISTRICT NO. 307 School Board Director, District No. 1","WRITE-IN"," ","7","0.5682","School"
"RAINIER SCHOOL DISTRICT NO. 307 School Board Director, District No. 2","Jerry F. Sprouffske"," ","689","53.9969","School"
"RAINIER SCHOOL DISTRICT NO. 307 School Board Director, District No. 2","Jon Palmer"," ","580","45.4545","School"
"RAINIER SCHOOL DISTRICT NO. 307 School Board Director, District No. 2","WRITE-IN"," ","7","0.5486","School"
"RAINIER SCHOOL DISTRICT NO. 307 School Board Director, District No. 3","Dana Morgan Spivey"," ","859","68.0127","School"
"RAINIER SCHOOL DISTRICT NO. 307 School Board Director, District No. 3","Brian Hackethal"," ","401","31.7498","School"
"RAINIER SCHOOL DISTRICT NO. 307 School Board Director, District No. 3","WRITE-IN"," ","3","0.2375","School"
"ROCHESTER SCHOOL DISTRICT NO. 401 School Board Director, District No. 2","Grant Rodeheaver"," ","1902","62.7516","School"
"ROCHESTER SCHOOL DISTRICT NO. 401 School Board Director, District No. 2","Wava Garza"," ","1109","36.5886","School"
"ROCHESTER SCHOOL DISTRICT NO. 401 School Board Director, District No. 2","WRITE-IN"," ","20","0.6598","School"
"ROCHESTER SCHOOL DISTRICT NO. 401 School Board Director, District No. 3","Penelope Mena"," ","1301","42.6418","School"
"ROCHESTER SCHOOL DISTRICT NO. 401 School Board Director, District No. 3","Susie Hawes"," ","1727","56.6044","School"
"ROCHESTER SCHOOL DISTRICT NO. 401 School Board Director, District No. 3","WRITE-IN"," ","23","0.7539","School"
"ROCHESTER SCHOOL DISTRICT NO. 401 School Board Director, District No. 4","James Neil Turner"," ","1500","50.1002","School"
"ROCHESTER SCHOOL DISTRICT NO. 401 School Board Director, District No. 4","Michael L. Morrow"," ","1472","49.165","School"
"ROCHESTER SCHOOL DISTRICT NO. 401 School Board Director, District No. 4","WRITE-IN"," ","22","0.7348","School"
"TENINO SCHOOL DISTRICT NO. 402 School Board Director, District No. 2","Ryan T. Hilton"," ","403","15.0654","School"
"TENINO SCHOOL DISTRICT NO. 402 School Board Director, District No. 2","Jennifer Johnson"," ","2254","84.2617","School"
"TENINO SCHOOL DISTRICT NO. 402 School Board Director, District No. 2","WRITE-IN"," ","18","0.6729","School"
"TENINO SCHOOL DISTRICT NO. 402 School Board Director, District No. 3","Adam Barr"," ","2059","96.17","School"
"TENINO SCHOOL DISTRICT NO. 402 School Board Director, District No. 3","WRITE-IN"," ","82","3.83","School"
"TENINO SCHOOL DISTRICT NO. 402 School Board Director, District No. 4","Jessica Reeves-Rush"," ","2178","97.8876","School"
"TENINO SCHOOL DISTRICT NO. 402 School Board Director, District No. 4","WRITE-IN"," ","47","2.1124","School"
"Tumwater School District No. 033 School Board Director, District No. 1","Jeff (Cowboy) Curry"," ","3672","36.9454","School"
"Tumwater School District No. 033 School Board Director, District No. 1","Jill Tokarczyk Adams"," ","6206","62.4409","School"
"Tumwater School District No. 033 School Board Director, District No. 1","WRITE-IN"," ","61","0.6137","School"
"Tumwater School District No. 033 School Board Director, District No. 2","Casey Taylor"," ","7109","92.0378","School"
"Tumwater School District No. 033 School Board Director, District No. 2","WRITE-IN"," ","615","7.9622","School"
"Tumwater School District No. 033 School Board Director, District No. 3","Scott Killough"," ","7532","97.8309","School"
"Tumwater School District No. 033 School Board Director, District No. 3","WRITE-IN"," ","167","2.1691","School"
"Yelm Community Schools School Board Director, District No. 2","Eric Heid"," ","1905","39.5639","School"
"Yelm Community Schools School Board Director, District No. 2","Casey Shaw"," ","2836","58.8993","School"
"Yelm Community Schools School Board Director, District No. 2","WRITE-IN"," ","74","1.5369","School"
"Yelm Community Schools School Board Director, District No. 3","Allyn Verbal"," ","1979","40.7705","School"
"Yelm Community Schools School Board Director, District No. 3","Denise Hendrickson"," ","2840","58.5084","School"
"Yelm Community Schools School Board Director, District No. 3","WRITE-IN"," ","35","0.7211","School"
"Yelm Community Schools School Board Director, District No. 5","Bill Hauss"," ","2759","56.7345","School"
"Yelm Community Schools School Board Director, District No. 5","Karen (Kay) Anderson"," ","2068","42.5252","School"
"Yelm Community Schools School Board Director, District No. 5","WRITE-IN"," ","36","0.7403","School"
"FIRE PROTECTION DISTRICT NO. 03 - LACEY Fire Commissioner, Position No. 3","Frank Kirkbride"," ","16475","98.5524","Fire"
"FIRE PROTECTION DISTRICT NO. 03 - LACEY Fire Commissioner, Position No. 3","WRITE-IN"," ","242","1.4476","Fire"
"FIRE PROTECTION DISTRICT NO. 03 - LACEY Fire Commissioner, Position No. 4","Liberty Hetzler"," ","16160","98.3208","Fire"
"FIRE PROTECTION DISTRICT NO. 03 - LACEY Fire Commissioner, Position No. 4","WRITE-IN"," ","276","1.6792","Fire"
"Fire Protection District No. 06 - East Olympia Fire Commissioner, Position No. 3","Brandon Faust"," ","2699","98.0385","Fire"
"Fire Protection District No. 06 - East Olympia Fire Commissioner, Position No. 3","WRITE-IN"," ","54","1.9615","Fire"
"Fire Protection District No. 08 - South Bay Fire Commissioner, Position No. 1","Gloria Zvirzdys"," ","3247","97.9783","Fire"
"Fire Protection District No. 08 - South Bay Fire Commissioner, Position No. 1","WRITE-IN"," ","67","2.0217","Fire"
"Fire Protection District No. 08 - South Bay Fire Commissioner, Position No. 2","Jake Hunter"," ","3307","98.4226","Fire"
"Fire Protection District No. 08 - South Bay Fire Commissioner, Position No. 2","WRITE-IN"," ","53","1.5774","Fire"
"FIRE PROTECTION DISTRICT NO. 9 - MCLANE BLACK LAKE Fire Commissioner, Position No. 3","Len Albert"," ","3309","98.9829","Fire"
"FIRE PROTECTION DISTRICT NO. 9 - MCLANE BLACK LAKE Fire Commissioner, Position No. 3","WRITE-IN"," ","34","1.0171","Fire"
"FIRE PROTECTION DISTRICT NO. 9 - MCLANE BLACK LAKE Fire Commissioner, Position No.  4","Jason A. Foust"," ","3207","98.6769","Fire"
"FIRE PROTECTION DISTRICT NO. 9 - MCLANE BLACK LAKE Fire Commissioner, Position No.  4","WRITE-IN"," ","43","1.3231","Fire"
"FIRE PROTECTION DISTRICT NO. 9 - MCLANE BLACK LAKE Fire Commissioner, Position No. 5","Mark Thompson"," ","3312","98.8362","Fire"
"FIRE PROTECTION DISTRICT NO. 9 - MCLANE BLACK LAKE Fire Commissioner, Position No. 5","WRITE-IN"," ","39","1.1638","Fire"
"FIRE PROTECTION DISTRICT 12 Fire Commissioner, Position No. 4","James Freed"," ","1372","96.4838","Fire"
"FIRE PROTECTION DISTRICT 12 Fire Commissioner, Position No. 4","WRITE-IN"," ","50","3.5162","Fire"
"Fire Protection District No. 13 - Griffin Fire Commissioner, Position No. 1","Arthur Dalessandro"," ","1794","98.8975","Fire"
"Fire Protection District No. 13 - Griffin Fire Commissioner, Position No. 1","WRITE-IN"," ","20","1.1025","Fire"
"Fire Protection District No. 13 - Griffin Fire Commissioner, Position No. 3","Dave Pearsall"," ","1801","98.739","Fire"
"Fire Protection District No. 13 - Griffin Fire Commissioner, Position No. 3","WRITE-IN"," ","23","1.261","Fire"
"FIRE PROTECTION DISTRICT NO. 17 - BALD HILLS Fire Commissioner, Position No. 1","Harry W. Miller"," ","658","97.3373","Fire"
"FIRE PROTECTION DISTRICT NO. 17 - BALD HILLS Fire Commissioner, Position No. 1","WRITE-IN"," ","18","2.6627","Fire"
"SE Thurston Fire Authority Sub Region 1 Fire Commissioner, Position No. 2","David Shepherd"," ","3669","98.1541","Fire"
"SE Thurston Fire Authority Sub Region 1 Fire Commissioner, Position No. 2","WRITE-IN"," ","69","1.8459","Fire"
"SE Thurston Fire Authority Sub Region 2 Fire Commissioner, Position No. 2 ","Jeff DeHan"," ","3766","98.5864","Fire"
"SE Thurston Fire Authority Sub Region 2 Fire Commissioner, Position No. 2 ","WRITE-IN"," ","54","1.4136","Fire"
"SE Thurston Fire Authority Sub Region 3 Fire Commissioner, Position No. 1","Bill DeVore"," ","3566","97.4051","Fire"
"SE Thurston Fire Authority Sub Region 3 Fire Commissioner, Position No. 1","WRITE-IN"," ","95","2.5949","Fire"
"SE Thurston Fire Authority Sub Region 3 Fire Commissioner, Position No. 2","Steven Slater"," ","3699","98.6137","Fire"
"SE Thurston Fire Authority Sub Region 3 Fire Commissioner, Position No. 2","WRITE-IN"," ","52","1.3863","Fire"
"WEST THURSTON  REGIONAL FIRE AUTHORITY ROCHESTER Fire Commissioner, Position No. 1","Jeff Merryman"," ","1895","81.1563","Fire"
"WEST THURSTON  REGIONAL FIRE AUTHORITY ROCHESTER Fire Commissioner, Position No. 1","WRITE-IN"," ","440","18.8437","Fire"
"WEST THURSTON  REGIONAL FIRE AUTHORITY LITTLEROCK Fire Commissioner, Position No. 2","Michael Reed"," ","1676","87.0649","Fire"
"WEST THURSTON  REGIONAL FIRE AUTHORITY LITTLEROCK Fire Commissioner, Position No. 2","WRITE-IN"," ","249","12.9351","Fire"
"TANGLEWILDE PARKS &amp; RECREATION DISTRICT NO. 1 Parks &amp; Recreation Commissioner, Position No. 1","Dayv Lowry"," ","320","97.8593","Park and Recreation"
