Race,Candidate,Party,Votes,PercentageOfTotalVotes,JurisdictionName
"Thurston Proposition No. 1 Sales and Use Tax for Law Enforcement Protection, Corresponding Prosecution and Public Defense Services, and Elections Security",Approved,,22312,,County
"Thurston Proposition No. 1 Sales and Use Tax for Law Enforcement Protection, Corresponding Prosecution and Public Defense Services, and Elections Security",Rejected,,16250,,County
City of Olympia Mayor,Dontae Payne,,5425,,City/Town
City of Olympia Mayor,David Ross,,2626,,City/Town
City of Olympia Mayor,Write-in,,43,,City/Town
"City of Olympia City Council, Position No. 2",Yen Huynh,,6013,,City/Town
"City of Olympia City Council, Position No. 2",Write-in,,242,,City/Town
"City of Olympia City Council, Position No. 3",Dani Madrone,,6037,,City/Town
"City of Olympia City Council, Position No. 3",Write-in,,233,,City/Town
"CITY OF LACEY City Council, Position No. 1",Malcolm Miller,,5163,,City/Town
"CITY OF LACEY City Council, Position No. 1",Write-in,,124,,City/Town
"CITY OF LACEY City Council, Position No. 2",Spencer Zeman,,2617,,City/Town
"CITY OF LACEY City Council, Position No. 2",Lenny Greenstein,,3501,,City/Town
"CITY OF LACEY City Council, Position No. 2",Write-in,,31,,City/Town
"CITY OF LACEY City Council, Position No.  3",Nicolas Dunning,,3927,,City/Town
"CITY OF LACEY City Council, Position No.  3",Ed Kunkel,,2153,,City/Town
"CITY OF LACEY City Council, Position No.  3",Write-in,,41,,City/Town
"City of Tumwater City Council, Position No. 1",Leatta Dahlhoff,,2479,,City/Town
"City of Tumwater City Council, Position No. 1",Write-in,,56,,City/Town
"City of Tumwater City Council, Position No. 2",Angela Jefferson,,2529,,City/Town
"City of Tumwater City Council, Position No. 2",Write-in,,46,,City/Town
"City of Tumwater City Council, Position No. 3",Doris Atkinson,,493,,City/Town
"City of Tumwater City Council, Position No. 3",Joan Cathey,,2556,,City/Town
"City of Tumwater City Council, Position No. 3",Write-in,,30,,City/Town
"City of Tumwater City Council, Position No. 7",Andrea McGhee,,1563,,City/Town
"City of Tumwater City Council, Position No. 7",Kelly Von Holtz,,1660,,City/Town
"City of Tumwater City Council, Position No. 7",Write-in,,13,,City/Town
"COMMISSIONER DISTRICT ALL COUNTY Commissioner, District No. 4",Vivian Eason,Prefers Independent Party,19905,,Commissioner
"COMMISSIONER DISTRICT ALL COUNTY Commissioner, District No. 4",Wayne Fournier,Prefers Democratic Party,19078,,Commissioner
"COMMISSIONER DISTRICT ALL COUNTY Commissioner, District No. 4",Write-in,,135,,Commissioner
"COMMISSIONER DISTRICT ALL COUNTY Commissioner, District No. 5",Emily Clouse,Prefers Democratic Party,23095,,Commissioner
"COMMISSIONER DISTRICT ALL COUNTY Commissioner, District No. 5",Terry S. Ballard,States No Party Preference,16065,,Commissioner
"COMMISSIONER DISTRICT ALL COUNTY Commissioner, District No. 5",Write-in,,133,,Commissioner
"PORT OF OLYMPIA Port Commissioner, District No. 1",Jasmine Vasavada,,19240,,Port
"PORT OF OLYMPIA Port Commissioner, District No. 1",Bill McGregor,,19018,,Port
